# List of software versions used for the analysis of the Planococcus citri genome project
Software name	Version
RAFT	v5
HIFIASM	v0.19.8
Purge Haplotigs	v1.1.2
Samtools	v1.2
Minimap2	v2.24
NEXTFLOW	v24.04.2
nf-crore/hic pipeline	v2.1.0
nextPolish2	v0.2.1-
YaHS	v1.2
JuiceBox	v2.17.00
MerquryFK	vAug11,2021
GenomeScope2.0	http://genomescope.org/genomescope2.0/info.php
Busco	v5.4
RepeatModeler	v1.6
RepeatMasker	v4.1.3-p1
NCBI/RMBLAST	v2.11.0+
hisat2	v2.2.1-4+b2
Fantasia	v02152024
GapSeq	v1.3.1
RADIANT	v1.1.5
DeepLoc2	v2.1
DeepTMHMM-1.0	v1.0.24
DIAMOND	v2.0.4
AvP	v0.9.1
Megan6	v6.25.10
STAR	v2.7.10b+dfsg-2+b2
nf-crore/RNA-seq pipeline	v3.14.0
Braker3	3.0.8
nf-crore/differentialabundance pipeline	v1.4.0
Tbtools-II	v2.310
